Premises Name,Certification Service Type,Service Types,Total Beds,Premises Website,Premises Address Other, Premises Address, Premises Address Suburb/Road, Premises Address Town/City, Premises Address Post Code, DHB Name,Certificate Name,Certification Period (Months),Certificate/License End Date,Current Auditor,Legal Name,Legal Entity Address Other, Legal Entity Address, Legal Entity Address Suburb/Road, Legal Entity Address Town/City, Legal Entity Address Post Code, Legal Entity Postal Address, Legal Entity Postal Address Suburb/Road, Legal Entity Postal Address Town/City, Legal Entity Postal Address Post Code, Legal Entity Website,
ABI Auckland Intensive,NGO Hospital,Medical,36,,,180 Metcalfe Road,,Ranui,0612,Waitemata District Health Board,ABI Rehabilitation New Zealand Limited,No change,22-9-2026,The DAA Group Limited,ABI Rehabilitation New Zealand Limited,,180 Metcalfe Road,,Auckland,0612,PO Box 70039,,Auckland,0655,,
ABI Wellington Intensive,NGO Hospital,Medical,26,,,8 Hospital Drive,Kenepuru,Porirua,5022,Capital and Coast District Health Board,ABI Rehabilitation New Zealand Limited,No change,22-9-2026,The DAA Group Limited,ABI Rehabilitation New Zealand Limited,,180 Metcalfe Road,,Auckland,0612,PO Box 70039,,Auckland,0655,,
Pumau Ki Te Aroha,NGO Hospital,"Sensory, Intellectual, Physical, Medical",24,,,10/200 Ohaupo Road,Glenview,Hamilton,3206,Waikato District Health Board,ABI Rehabilitation New Zealand Limited,No change,22-9-2026,The DAA Group Limited,ABI Rehabilitation New Zealand Limited,,180 Metcalfe Road,,Auckland,0612,PO Box 70039,,Auckland,0655,,
Anglesea Hospital,NGO Hospital,Surgical,17,http://www.angleseahospital.co.nz/,South Bloc,Knox Street,Hamilton Central,Hamilton,3204,Waikato District Health Board,Anglesea Hospital Limited - Anglesea Hospital,48,3-6-2029,BSI Group New Zealand Ltd,Anglesea Hospital Limited,Knox Clinic,Knox Street,,Hamilton,3204,PO Box 228,,Hamilton,3240,,
Arohanui Hospice Service Trust,NGO Hospital,Medical,10,http://www.arohanuihospice.org.nz/,Arohanui Hospice,1 Heretaunga Street,,Palmerston North,4414,MidCentral District Health Board,Arohanui Hospice Service Trust - Arohanui Hospice Service Trust,48,13-9-2029,The DAA Group Limited,Arohanui Hospice Service Trust,,1 Heretaunga Street,,Palmerston North,4414,PO Box 5349,,Palmerston North,4441,,
The Ashburn Clinic,NGO Hospital,Mental health,66,http://www.ashburn.co.nz,,496 Taieri Road,Halfway Bush,Dunedin,9010,Southern District Health Board,Ashburn Hall Charitable Trust - The Ashburn Clinic,No change,20-5-2026,The DAA Group Limited,Ashburn Hall Charitable Trust,,496 Taieri Road,,Dunedin,9010,Private Bag 1916,,Dunedin,9054,,
Belverdale Hospital,NGO Hospital,Surgical,15,,,5 Campbell Street,,Wanganui,4500,Whanganui District Health Board,Belverdale Hospital Limited - Belverdale Hospital,No change,23-7-2026,BSI Group New Zealand Ltd,Belverdale Hospital Limited,,5 Campbell Street,,Wanganui,4500,,,,,,
Bidwill Trust Hospital,NGO Hospital,Surgical,14,,,53 Elizabeth Street,Seaview,Timaru,7910,South Canterbury District Health Board,Bidwill Trust Hospital Foundation - Bidwill Trust Hospital,36,16-1-2027,BSI Group New Zealand Ltd,Bidwill Trust Hospital Foundation,,53 Elizabeth Street,,Timaru,7910,,,,,,
Birthcare Auckland,NGO Hospital,Maternity,45,,,20 Titoki Street,Parnell,Auckland,1052,Auckland District Health Board,Birthcare Auckland Limited - Birthcare Auckland,36,27-3-2027,BSI Group New Zealand Ltd,Birthcare Auckland Limited,,20 Titoki Street,,Auckland,1052,PO Box 99328,,Auckland,1149,,
Boulcott Hospital,NGO Hospital,Surgical,27,http://www.boulcotthospital.co.nz/,,666 High Street,Boulcott,Lower Hutt,5010,Hutt Valley District Health Board,Boulcott Pulse Health Limited - Boulcott Hospital,36,1-7-2027,The DAA Group Limited,Boulcott Pulse Health Limited,,666 High Street,,Lower Hutt,5010,PO Box 31459,,Lower Hutt,5040,https://boulcotthospital.co.nz,
Braemar Hospital,NGO Hospital,"Surgical, Medical",73,https://www.braemarhospital.co.nz,,28 Ohaupo Road,Hamilton Lake,Hamilton,3204,Waikato District Health Board,Braemar Hospital Limited - Braemar Hospital,48,23-7-2028,The DAA Group Limited,Braemar Hospital Limited,,24 Ohaupo Road,,Hamilton,3240,PO Box 972,,Hamilton 3240,3240,,
Dunstan Hospital,NGO Hospital,"Childrens health, Medical",28,,,Hospital Road,,Clyde,9391,Southern District Health Board,Central Otago Health Services Limited - Dunstan Hospital,36,14-9-2028,Central Region's Technical Advisory Services Limited,Central Otago Health Services Limited,,105 Mutton Town Road,,Clyde,9391,PO Box 30,,Clyde,9341,,
Winton Maternity Centre,NGO Hospital,Maternity,6,,,384 Great North Road,,Winton,9720,Southern District Health Board,Central Southland Hospital Charitable Trust Board - Winton Maternity Centre,36,21-10-2027,BSI Group New Zealand Ltd,Central Southland Hospital Charitable Trust Board,,384 Great North Road,,Winton,9720,PO Box 28,,Winton,9720,,
Clutha Health First,NGO Hospital,"Maternity, Medical",17,,,9 -11 Charlotte Street,,Balclutha,9230,Southern District Health Board,Clutha Community Health Company Limited - Clutha Health First,36,6-3-2027,Central Region's Technical Advisory Services Limited,Clutha Community Health Company Limited,,3 Charlotte Street,,Balclutha,9230,PO Box 46,,Balclutha 9240,9240,,
Crest Hospital ,NGO Hospital,"Surgical, Medical",39,,,21 Carroll Street,,Palmerston North,4410,MidCentral District Health Board,Crest Hospital Limited - Crest Hospital,48,14-9-2029,The DAA Group Limited,Crest Hospital Limited,,21 Carroll Street,,Palmerston North,4410,PO Box 442,,Palmerston North,4440,,
Endoscopy Auckland,NGO Hospital,Surgical,10,http://www.laparoscopyak.co.nz,,148 Gillies Avenue,Epsom,Auckland,1023,Auckland District Health Board,Endoscopy Auckland Limited - Endoscopy Auckland,36,15-2-2026,BSI Group New Zealand Ltd,Endoscopy Auckland Limited,,148 Gillies Avenue,,Auckland,1023,,,,,,
Bowen Hospital,NGO Hospital,"Surgical, Medical",21,,,98 Churchill Drive,Crofton Downs,Wellington,6035,Capital and Coast District Health Board,Evolution Healthcare NZ Limited - Bowen Hospital,No change,24-5-2026,The DAA Group Limited,Evolution Healthcare NZ Limited,,30 Florence Street,,Wellington,6021,Private Bag 7909,,Wellington,6242,,
Royston Hospital,NGO Hospital,"Surgical, Medical",33,,,500 Southland Road,,Hastings,4122,Hawke's Bay District Health Board,Evolution Healthcare NZ Limited - Royston Hospital,36,10-7-2026,The DAA Group Limited,Evolution Healthcare NZ Limited,,30 Florence Street,,Wellington,6021,Private Bag 7909,,Wellington,6242,,
Wakefield Hospital,NGO Hospital,"Medical, Surgical",47,,Wakefield Hospital,99 Rintoul Street,Berhampore,Wellington,6021,Capital and Coast District Health Board,Evolution Healthcare NZ Limited - Wakefield Hospital,36,27-5-2028,The DAA Group Limited,Evolution Healthcare NZ Limited,,30 Florence Street,,Wellington,6021,Private Bag 7909,,Wellington,6242,,
Grace Hospital,NGO Hospital,Surgical,51,,,281 Cheyne Road,Pyes Pa,Tauranga,3112,Bay of Plenty District Health Board,Evolution Southern Cross Limited - Grace Hospital,48,23-3-2029,The DAA Group Limited,Evolution Southern Cross Limited,,281 Cheyne Road,,Tauranga,3112,PO Box 2320,,Tauranga 3140,3140,,
Forté Health Hospital,NGO Hospital,Surgical,30,,Forte Health,132 Peterborough Street,Christchurch Central,Christchurch,8013,Canterbury District Health Board,Forté Health Limited - Forté Health Hospital,No change,12-1-2026,The DAA Group Limited,Forté Health Limited,,132 Peterborough Street,,Christchurch,8140,PO Box 1006,,Christchurch,8140,,
