Premises Name,Certification Service Type,Service Types,Total Beds,Premises Website,Premises Address Other, Premises Address, Premises Address Suburb/Road, Premises Address Town/City, Premises Address Post Code, DHB Name,Certificate Name,Certification Period (Months),Certificate/License End Date,Current Auditor,Legal Name,Legal Entity Address Other, Legal Entity Address, Legal Entity Address Suburb/Road, Legal Entity Address Town/City, Legal Entity Address Post Code, Legal Entity Postal Address, Legal Entity Postal Address Suburb/Road, Legal Entity Postal Address Town/City, Legal Entity Postal Address Post Code, Legal Entity Website,
Auckland City Hospital,Public Hospital,"Childrens health, Maternity, Surgical, Medical",1187,,,2 Park Road,Grafton,Auckland,1023,Auckland District Health Board,Auckland District Health Board,No change,1-5-2026,The DAA Group Limited,Auckland District Health Board,"Level 51, Building 10, Greenlane Clinical Centre",214 Green Lane West,,Auckland,1051,Private Bag 92024,,Auckland,1142,http://www.adhb.govt.nz/,
Auckland DHB X 3 Units - Mental Health,Public Hospital,Mental health,96,,,2 Park Road,Grafton,Auckland,1023,Auckland District Health Board,Auckland District Health Board,No change,1-5-2026,The DAA Group Limited,Auckland District Health Board,"Level 51, Building 10, Greenlane Clinical Centre",214 Green Lane West,,Auckland,1051,Private Bag 92024,,Auckland,1142,http://www.adhb.govt.nz/,
Buchanan Rehabilitation Centre,Public Hospital,Mental health,40,,,27 Sutherland Road,Point Chevalier,Auckland,1025,Auckland District Health Board,Auckland District Health Board,No change,1-5-2026,The DAA Group Limited,Auckland District Health Board,"Level 51, Building 10, Greenlane Clinical Centre",214 Green Lane West,,Auckland,1051,Private Bag 92024,,Auckland,1142,http://www.adhb.govt.nz/,
Greenlane Clinical Centre,Public Hospital,"Surgical, Medical",31,,,214 Green Lane West,Epsom,Auckland,1051,Auckland District Health Board,Auckland District Health Board,No change,1-5-2026,The DAA Group Limited,Auckland District Health Board,"Level 51, Building 10, Greenlane Clinical Centre",214 Green Lane West,,Auckland,1051,Private Bag 92024,,Auckland,1142,http://www.adhb.govt.nz/,
Bethlehem Birthing Centre,Public Hospital,Maternity,12,,1st Floor,1 Te Paeroa Road,Bethlehem,Tauranga,3110,Bay of Plenty District Health Board,Bay of Plenty District Health Board,No change,3-10-2026,The DAA Group Limited,Bay of Plenty District Health Board,,829 Cameron Road,,Tauranga,3112,Private Bag 12024,,Tauranga,3143,,
Tauranga Hospital,Public Hospital,"Maternity, Psychogeriatric, Mental health, Surgical, Medical, Geriatric, Childrens health",360,,,829 Cameron Road,Tauranga South,Tauranga,3112,Bay of Plenty District Health Board,Bay of Plenty District Health Board,No change,3-10-2026,The DAA Group Limited,Bay of Plenty District Health Board,,829 Cameron Road,,Tauranga,3112,Private Bag 12024,,Tauranga,3143,,
Whakatane Hospital,Public Hospital,"Medical, Childrens health, Surgical, Mental health, Maternity",96,,,33 Stewart Street,,Whakatane,3120,Bay of Plenty District Health Board,Bay of Plenty District Health Board,No change,3-10-2026,The DAA Group Limited,Bay of Plenty District Health Board,,829 Cameron Road,,Tauranga,3112,Private Bag 12024,,Tauranga,3143,,
Ashburton Hospital,Public Hospital,"Maternity, Medical",68,,,34 Elizabeth Street,Allenton,Ashburton,7700,Canterbury District Health Board,Canterbury District Health Board,36,21-9-2027,The DAA Group Limited,Canterbury District Health Board,,2 Riccarton Avenue,,Christchurch,8011,PO Box 1600,,Christchurch,8140,,
Burwood Hospital,Public Hospital,"Psychogeriatric, Surgical, Geriatric, Medical",331,,,255 Mairehau Road,Burwood,Christchurch,8083,Canterbury District Health Board,Canterbury District Health Board,36,21-9-2027,The DAA Group Limited,Canterbury District Health Board,,2 Riccarton Avenue,,Christchurch,8011,PO Box 1600,,Christchurch,8140,,
Christchurch Hospital,Public Hospital,"Maternity, Medical, Childrens health, Surgical",826,,,2 Riccarton Avenue,Christchurch Central,Christchurch,8011,Canterbury District Health Board,Canterbury District Health Board,36,21-9-2027,The DAA Group Limited,Canterbury District Health Board,,2 Riccarton Avenue,,Christchurch,8011,PO Box 1600,,Christchurch,8140,,
Darfield Hospital,Public Hospital,"Medical, Geriatric",11,,,31 Mathias Street,,Darfield,7510,Canterbury District Health Board,Canterbury District Health Board,36,21-9-2027,The DAA Group Limited,Canterbury District Health Board,,2 Riccarton Avenue,,Christchurch,8011,PO Box 1600,,Christchurch,8140,,
